age,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
*,Unknown,114362,Secondary,Married-civ-spouse,Unknown,Husband,Black,Male,0,0,30,United-States,<=50K
*,Private,124685,Secondary,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,55,United-States,<=50K
*,Private,198146,Basic,Never-married,Sales,Own-child,White,Female,0,0,16,United-States,<=50K
*,Private,32059,Basic,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
*,Private,77313,Secondary,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
*,Unknown,175648,Basic,Never-married,Unknown,Own-child,White,Male,0,0,40,United-States,<=50K
*,Private,529223,Higher,Never-married,Sales,Own-child,Black,Male,0,0,10,United-States,<=50K
*,Private,265881,Secondary,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
*,Private,54932,Secondary,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
*,Unknown,318264,Secondary,Never-married,Unknown,Own-child,White,Male,0,0,30,United-States,<=50K
*,Local-gov,169853,Secondary,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
*,Self-emp-not-inc,36876,Secondary,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States,<=50K
*,Private,209629,Secondary,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
*,Private,167482,Secondary,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,>50K
*,Private,215392,Higher,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
*,Private,183542,Higher,Widowed,Prof-specialty,Unmarried,White,Female,0,0,32,United-States,<=50K
*,Private,276229,Secondary,Widowed,Sales,Not-in-family,White,Female,0,0,38,United-States,<=50K
*,Private,144064,Higher,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,90159,Higher,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,32,United-States,>50K
*,Private,176972,Higher,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,476334,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
*,Private,383306,Higher,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,211154,Higher,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
*,Private,105021,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
*,Private,90547,Secondary,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,23,United-States,<=50K
*,Private,107190,Secondary,Never-married,Adm-clerical,Own-child,Black,Male,0,0,20,United-States,<=50K
*,Private,184456,Higher,Never-married,Exec-managerial,Not-in-family,White,Male,27828,0,50,United-States,>50K
*,Self-emp-inc,159179,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
*,Private,146378,Secondary,Never-married,Other-service,Own-child,White,Female,0,0,40,Unknown,<=50K
*,Self-emp-not-inc,96073,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,England,>50K
*,Private,227065,Secondary,Never-married,Prof-specialty,Not-in-family,White,Male,4650,0,40,United-States,<=50K
*,State-gov,221966,Higher,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
*,Private,332379,Secondary,Married-spouse-absent,Transport-moving,Unmarried,White,Male,0,0,50,United-States,<=50K
*,Federal-gov,108464,Higher,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
*,Private,166415,Secondary,Never-married,Transport-moving,Unmarried,White,Male,0,0,52,United-States,<=50K
*,Private,120238,Higher,Never-married,Craft-repair,Not-in-family,White,Male,3325,0,40,United-States,<=50K
*,Self-emp-not-inc,203488,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
*,Private,192149,Higher,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
*,Private,249644,Secondary,Divorced,Craft-repair,Not-in-family,White,Male,0,0,48,United-States,>50K
*,State-gov,124020,Higher,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
*,State-gov,160158,Secondary,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,8,United-States,<=50K
*,Self-emp-not-inc,277488,Secondary,Divorced,Transport-moving,Not-in-family,White,Male,0,0,84,United-States,<=50K
*,Private,183111,Higher,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
*,Private,116044,Basic,Separated,Craft-repair,Other-relative,White,Male,2907,0,50,United-States,<=50K
*,State-gov,157332,Secondary,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
*,Self-emp-not-inc,174056,Higher,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,United-States,>50K
*,Private,54317,Secondary,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60,United-States,<=50K
*,Private,220115,Secondary,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,<=50K
*,Private,167440,Higher,Married-civ-spouse,Transport-moving,Husband,White,Male,4508,0,40,United-States,<=50K
*,Private,223231,Secondary,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0,0,40,Mexico,<=50K
*,State-gov,61431,Basic,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
*,Private,152246,Secondary,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,52,United-States,<=50K
*,Private,70754,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
*,Private,182342,Secondary,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,<=50K
*,Private,144169,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
*,Private,403037,Secondary,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
*,Local-gov,146325,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
*,Private,159788,Higher,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,80,United-States,<=50K
*,Private,141758,Basic,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
*,Private,193568,Basic,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
*,Private,216181,*,Never-married,Sales,Own-child,White,*,0,0,36,*,<=50K
*,Private,112840,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
*,Private,69413,Secondary,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
*,Local-gov,353270,Higher,Never-married,Craft-repair,Own-child,White,Female,0,0,40,United-States,<=50K
*,Private,215384,Basic,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,216208,Secondary,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
*,Private,399387,Basic,Separated,Priv-house-serv,Unmarried,Black,Female,0,0,15,United-States,<=50K
*,Private,163003,Higher,Married-spouse-absent,Tech-support,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
*,Self-emp-not-inc,258037,Secondary,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,Cuba,>50K
*,Federal-gov,185053,Higher,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
*,Unknown,182117,Secondary,Never-married,Unknown,Own-child,White,Male,0,0,40,United-States,<=50K
*,Private,191342,Higher,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,>50K
*,Private,107165,Secondary,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,18,United-States,<=50K
*,Private,222434,Secondary,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
*,Private,224097,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
*,Private,74680,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,50,United-States,>50K
*,Private,95552,Secondary,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
*,Private,340917,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,2829,0,50,Unknown,<=50K
*,Private,354351,Secondary,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
*,Private,94235,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
*,Self-emp-not-inc,195881,Secondary,Married-civ-spouse,Farming-fishing,Husband,White,Male,2414,0,40,United-States,<=50K
*,Private,143327,Secondary,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,615367,Higher,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
*,Local-gov,273399,*,Never-married,Protective-serv,Not-in-family,White,*,0,0,40,*,<=50K
*,Private,271276,Secondary,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,80,United-States,>50K
*,Private,123283,Secondary,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,15,United-States,<=50K
*,Private,103323,Secondary,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
*,Private,235786,Higher,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
*,Private,99156,Higher,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
*,Private,155066,Secondary,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
*,Private,186934,Secondary,Married-civ-spouse,Sales,Husband,White,Male,15024,0,60,United-States,>50K
*,Private,421967,Higher,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,United-States,>50K
*,Private,381583,Secondary,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,45,United-States,>50K
*,Private,160703,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,>50K
*,Private,108293,Secondary,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
*,Federal-gov,38645,Higher,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
*,Self-emp-inc,379485,Higher,Divorced,Exec-managerial,Unmarried,White,Male,0,0,45,United-States,<=50K
*,State-gov,206051,Secondary,Married-spouse-absent,Farming-fishing,Own-child,White,Male,0,0,50,United-States,<=50K
*,Private,255454,Secondary,Never-married,Craft-repair,Own-child,Black,Male,0,0,30,United-States,<=50K
*,Self-emp-inc,30575,Higher,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,>50K
*,Private,240676,Secondary,Divorced,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
*,Private,86298,Secondary,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,53158,Higher,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
*,Private,166056,Secondary,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
*,Local-gov,104509,Higher,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
*,Self-emp-not-inc,126738,Secondary,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,72,United-States,<=50K
*,Private,252518,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K
*,Private,170924,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,>50K
*,Private,37646,Secondary,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
*,Self-emp-inc,142712,Secondary,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,<=50K
*,Private,87583,Secondary,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,14,United-States,<=50K
*,Private,270059,Secondary,Divorced,Sales,Unmarried,White,Female,0,0,30,United-States,<=50K
*,Unknown,34458,Basic,Married-civ-spouse,Unknown,Husband,White,Male,0,0,10,United-States,<=50K
*,Private,356238,Higher,Never-married,Other-service,Not-in-family,White,Female,0,0,80,United-States,>50K
*,Private,51838,Secondary,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
*,Private,216129,Higher,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
*,Private,164749,Secondary,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
*,Private,123727,Secondary,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,30,United-States,<=50K
*,Self-emp-not-inc,312477,Secondary,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,United-States,>50K
*,Private,164711,Secondary,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,<=50K
*,Private,167990,*,Married-civ-spouse,Machine-op-inspct,Husband,White,*,0,0,40,*,<=50K
*,Private,128132,Secondary,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
*,Private,117310,Higher,Widowed,Tech-support,Unmarried,White,Female,6497,0,40,United-States,<=50K
*,Unknown,239120,Higher,Never-married,Unknown,Not-in-family,White,Male,0,0,13,United-States,<=50K
*,Private,174308,Basic,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,117363,Higher,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
*,Private,168211,Secondary,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
*,Private,259087,Secondary,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
*,Private,213385,Secondary,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,236328,Basic,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K
*,Unknown,201657,Higher,Divorced,Unknown,Not-in-family,White,Female,0,0,60,United-States,<=50K
*,Local-gov,52532,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,50,United-States,>50K
*,Unknown,180362,Higher,Never-married,Unknown,Own-child,White,Female,0,0,40,United-States,<=50K
*,Federal-gov,112115,Secondary,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
*,Private,199949,Basic,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,13,United-States,<=50K
*,Unknown,137363,Secondary,Never-married,Unknown,Own-child,White,Female,0,0,30,United-States,<=50K
*,Private,128509,Basic,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Unknown,<=50K
*,Private,200700,Higher,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,48,United-States,>50K
*,Private,252993,*,Never-married,Handlers-cleaners,Own-child,White,*,0,0,40,*,<=50K
*,Self-emp-not-inc,180686,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
*,Unknown,191288,Basic,Widowed,Unknown,Not-in-family,White,Female,0,0,15,United-States,<=50K
*,Private,223342,Secondary,Widowed,Adm-clerical,Not-in-family,White,Female,2174,0,40,England,<=50K
*,Private,236684,Higher,Never-married,Other-service,Own-child,Black,Female,0,0,36,United-States,<=50K
*,Self-emp-not-inc,119944,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
*,Private,170230,Higher,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,>50K
*,Private,114158,Higher,Never-married,Prof-specialty,Own-child,White,Female,0,0,15,United-States,<=50K
*,State-gov,240738,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
*,Private,86551,Higher,Divorced,Sales,Not-in-family,White,Male,0,0,48,United-States,>50K
*,Private,273803,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
*,State-gov,77634,Basic,Never-married,Other-service,Not-in-family,White,Male,0,0,24,United-States,<=50K
*,Private,232985,Secondary,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,20,United-States,<=50K
*,Private,45522,Secondary,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,141388,Basic,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
*,Private,303521,Secondary,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Self-emp-not-inc,195891,Secondary,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
*,Private,219483,Higher,Married-civ-spouse,Prof-specialty,Wife,White,Female,5013,0,32,United-States,<=50K
*,Self-emp-inc,266070,Higher,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,80,United-States,<=50K
*,Self-emp-not-inc,294398,Secondary,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
*,Private,709798,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
*,Unknown,222381,Secondary,Divorced,Unknown,Unmarried,White,Male,0,0,40,United-States,<=50K
*,Private,488720,Higher,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K
*,State-gov,250821,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K
*,Private,291965,Secondary,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
*,Private,290306,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
*,Private,207537,Secondary,Divorced,Craft-repair,Own-child,White,Male,0,1669,50,United-States,<=50K
*,Private,191137,Higher,Divorced,Prof-specialty,Unmarried,White,Male,0,0,25,United-States,<=50K
*,Private,91711,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
*,Private,205829,Secondary,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
*,Private,228465,Secondary,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
*,Private,140854,Higher,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
*,Private,218916,Higher,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
*,State-gov,134069,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,>50K
*,Private,178356,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,2407,0,99,United-States,<=50K
*,Private,148444,Secondary,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K
*,Self-emp-not-inc,58343,Secondary,Divorced,Farming-fishing,Unmarried,White,Male,0,0,56,United-States,<=50K
*,Self-emp-not-inc,238479,Basic,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,8,United-States,<=50K
*,Private,181705,Higher,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
*,Private,103851,Basic,Never-married,Adm-clerical,Own-child,White,Female,1055,0,20,United-States,<=50K
*,Private,267431,Higher,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,<=50K
*,Private,170070,Secondary,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,25,United-States,<=50K
*,Private,52645,Secondary,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
*,Private,186849,Basic,Divorced,Sales,Own-child,White,Male,0,0,50,United-States,<=50K
*,Private,362654,Secondary,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
*,Private,175625,Higher,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
*,Private,409230,Higher,Never-married,Sales,Not-in-family,White,Male,0,0,25,United-States,<=50K
*,Private,90042,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
*,Self-emp-not-inc,205860,Secondary,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,1735,40,United-States,<=50K
*,Private,146906,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
*,Private,62339,Basic,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,State-gov,187581,Higher,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,48,United-States,>50K
*,Self-emp-not-inc,326400,Higher,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Unknown,100820,Secondary,Married-civ-spouse,Unknown,Husband,White,Male,0,2489,15,United-States,<=50K
*,Private,256861,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
*,Private,160035,Secondary,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,298995,Secondary,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,35,United-States,<=50K
*,Private,235646,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
*,State-gov,478457,Secondary,Never-married,Other-service,Own-child,Black,Female,0,0,12,United-States,<=50K
*,Private,148315,Secondary,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,<=50K
*,Private,168038,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,32,United-States,<=50K
*,Self-emp-not-inc,105021,Secondary,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
*,Private,171236,Secondary,Divorced,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,<=50K
*,Private,335716,Secondary,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
*,Private,91857,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,<=50K
*,Private,194960,Secondary,Never-married,Farming-fishing,Not-in-family,Other,Male,0,0,40,Puerto-Rico,<=50K
*,Private,193199,*,Never-married,Sales,Unmarried,White,*,0,0,12,*,<=50K
*,Private,112967,Secondary,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
*,State-gov,126701,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,>50K
*,Private,104660,Higher,Widowed,Exec-managerial,Unmarried,White,Male,4934,0,40,United-States,>50K
*,State-gov,29276,Basic,Widowed,Other-service,Other-relative,White,Female,0,0,24,United-States,<=50K
*,Private,125461,Secondary,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K
*,Federal-gov,31840,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
*,Private,163434,Secondary,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
*,Private,162108,Higher,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
*,Private,111469,Secondary,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
*,Private,331776,Secondary,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
